Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.76,99000,9.3,7,35950
2020,Acura,Other Model Type,Sedan,FWD,Red,White,Gas,Automatic,4,,8.6,30500,11.6,4,35999
2020,Acura,Other Model Type,Sedan,AWD,Other Colour,White,Gas,Automatic,,6,10.29,81676,9.7,4,38549
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,30192,10.1,5,38995
2020,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,,6,10.29,49921,9.7,4,40850
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,13289,10.1,5,43995
2022,Acura,Other Model Type,Sedan,AWD,Black,Blue,Gas,Automatic,,,9.86,7700,10.1,2,49988
2008,Acura,Other Model Type,SUV,AWD,Beige,Black,Gas,Automatic,4,6,12.09,184000,8.3,16,9995
2013,Acura,Other Model Type,SUV,AWD,Brown,Black,Gas,Automatic,4,,11.58,244685,8.6,11,11888
2014,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,6,8.78,168000,11.4,10,15895
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,11.58,154800,8.6,13,15995
2015,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.41,171697,11.9,9,15995
2017,Acura,Other Model Type,Sedan,AWD,Black,Other Colour,Gas,Automatic,4,6,9.54,191000,10.5,7,19995
2017,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,122000,12.2,7,21950
2020,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,,4,8.6,10717,11.6,4,28995
2019,Acura,Other Model Type,Sedan,AWD,Red,White,Gas,Automatic,,6,10.29,60529,9.7,5,34779
