Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2019.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.92,13289.0,10.1,5.0,43995.0
2022.0,0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,3.0,4.0,9.86,7700.0,10.1,2.0,49988.0
2008.0,0.0,10.0,8.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,12.09,184000.0,8.3,16.0,9995.0
2013.0,0.0,10.0,8.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,11.58,244685.0,8.6,11.0,11888.0
2014.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,8.78,168000.0,11.4,10.0,15895.0
2011.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,11.58,154800.0,8.6,13.0,15995.0
2015.0,0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.41,171697.0,11.9,9.0,15995.0
2017.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.54,191000.0,10.5,7.0,19995.0
2017.0,0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.23,122000.0,12.2,7.0,21950.0
2020.0,0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,8.6,10717.0,11.6,4.0,28995.0
2019.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.29,60529.0,9.7,5.0,34779.0
2019.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,10.31,65882.0,9.7,5.0,41990.0
2020.0,0.0,10.0,8.0,3.0,7.0,0.0,2.0,2.0,3.0,4.0,10.31,50329.0,9.7,4.0,44995.0
2002.0,0.0,10.0,7.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,7.25,229000.0,13.8,22.0,2998.0
2003.0,0.0,10.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,7.71,230098.0,13.0,21.0,6999.0
2002.0,0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,7.25,123338.0,13.8,22.0,6999.0
2005.0,0.0,10.0,2.0,4.0,1.0,5.0,2.0,0.0,2.0,4.0,8.0,191492.0,12.5,19.0,7999.0
2008.0,0.0,10.0,8.0,3.0,6.0,2.0,2.0,0.0,4.0,4.0,11.06,226356.0,9.0,16.0,8995.0
2016.0,0.0,10.0,7.0,4.0,1.0,1.0,8.0,0.0,4.0,4.0,8.1,99000.0,12.3,8.0,22900.0
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.29,103658.0,9.7,5.0,34995.0
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.74,10735.0,10.3,5.0,35495.0
2019.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.01,50412.0,10.0,5.0,35995.0
2022.0,0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,8.6,10122.0,11.6,2.0,35995.0
