Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2016,Acura,Other Model Type,Sedan,FWD,Black,Blue,Premium Unleaded,Automatic,4,4,8.1,99000,12.3,8,22900,1260.55
2019,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,,10.29,103658,9.7,5,34995,2309.23
2019,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,,9.74,10735,10.3,5,35495,12838.8
2019,Acura,Other Model Type,Sedan,AWD,Black,Other Colour,Gas,Automatic,4,,10.01,50412,10.0,5,35995,4468.69
2022,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,,8.6,10122,11.6,2,35995,16099.54
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,80862,10.1,5,35995,2971.13
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,67934,10.1,5,36995,3560.22
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,10.76,85772,9.3,5,37995,2975.43
2019,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,,10.31,65969,9.7,5,38989,3849.17
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,10.31,102340,9.7,4,39995,2848.14
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,,9.92,25777,10.1,4,40788,9120.5
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,55635,10.1,4,42995,5240.5
2021,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.12,92078,9.9,3,44995,3746.72
2020,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,4,,10.98,48622,9.1,4,45995,6276.82
2021,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.31,49050,9.7,3,46495,6692.76
2022,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,10.31,14700,9.7,2,53995,19674.29
2022,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,,11.16,50845,9.0,2,60866,9003.11
2022,Acura,Other Model Type,SUV,AWD,Red,Blue,Gas,Automatic,4,,11.16,45339,9.0,2,61417,9988.49
2011,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Manual,4,,8.51,234000,11.8,13,9500,136.27
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,10.35,240000,9.7,13,9999,139.99
2007,Acura,Other Model Type,Sedan,FWD,Grey,Blue,Gas,Automatic,4,6,10.28,178878,9.7,17,12999,103.23
2010,Acura,Other Model Type,SUV,AWD,Beige,White,Gas,Automatic,4,,11.58,181045,8.6,14,13980,219.53
2018,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,83020,12.2,6,25989,1955.74
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,34586,10.1,5,40995,6895.94
2012,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,7.91,142791,12.6,12,10985,287.58
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.31,93111,9.7,5,38426,2795.0
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.87,88199,9.2,5,39495,3016.45
2020,Acura,Other Model Type,SUV,AWD,Red,White,Premium Unleaded,Automatic,4,4,10.31,32575,9.7,4,43888,8246.72
2009,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,,8.21,253873,12.2,15,6990,66.23
2015,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,6,10.57,230000,9.5,9,13888,318.27
2015,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.57,160000,9.5,9,18450,596.91
2015,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,6,10.57,154925,9.5,9,18490,616.61
2015,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,11.08,206795,9.0,9,18990,481.77
2017,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,,9.54,185361,10.5,7,19798,658.71
2017,Acura,Other Model Type,SUV,AWD,Tan,White,Premium Unleaded,Automatic,4,6,10.74,182129,9.3,7,19990,676.29
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,10.69,63846,9.4,8,21995,1787.1
2016,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,6,9.54,106520,10.5,8,22895,1178.94
2017,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,6,10.74,73000,9.3,7,25950,2032.23
2018,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,,10.74,55656,9.3,6,26995,2878.11
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,11.08,124021,9.0,8,27500,1231.15
2018,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,6,9.74,72702,10.3,6,27880,2359.8
2017,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,10.98,159598,9.1,7,27888,1068.83
2019,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,4,8.7,56700,11.5,5,28880,3247.38
2019,Acura,Other Model Type,Sedan,FWD,Other Colour,Blue,Gas,Automatic,4,4,8.6,74148,11.6,5,29990,2672.97
2019,Acura,Other Model Type,Sedan,FWD,Beige,White,Premium Unleaded,Automatic,4,4,8.7,62099,11.5,5,30388,3161.07
2016,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,11.08,53000,9.0,8,30900,2942.86
2019,Acura,Other Model Type,SUV,AWD,Black,Blue,Gas,Automatic,4,4,9.92,77300,10.1,5,32880,2824.74
2018,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.98,63000,9.1,6,34880,3344.66
2020,Acura,Other Model Type,Sedan,FWD,Red,White,Gas,Automatic,4,,8.94,15288,11.2,4,34888,11037.01
2019,Acura,Other Model Type,SUV,AWD,Black,Grey,Gas,Automatic,4,4,9.92,48001,10.1,5,34999,4525.65
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,2,4,9.92,80538,10.1,5,36600,3031.88
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.76,37200,9.3,5,37900,6022.25
2020,Acura,Other Model Type,Sedan,AWD,Red,Other Colour,Premium Unleaded,Automatic,2,6,10.29,47997,9.7,4,38500,5310.62
2019,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,2,4,9.92,51915,10.1,5,38588,4674.31
2019,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,,10.76,58824,9.3,5,38699,4217.17
2020,Acura,Other Model Type,Sedan,AWD,Black,Black,Premium Unleaded,Automatic,2,6,10.29,39732,9.7,4,38900,6257.54
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,2,4,10.31,68267,9.7,5,38989,3736.15
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,10.76,102550,9.3,5,39597,2638.63
2020,Acura,Other Model Type,SUV,AWD,Other Colour,White,Premium Unleaded,Automatic,2,4,9.92,70852,10.1,4,40800,4037.01
2020,Acura,Other Model Type,SUV,AWD,Red,Black,Premium Unleaded,Automatic,2,4,10.31,79374,9.7,4,41500,3714.73
2019,Acura,Other Model Type,SUV,AWD,Grey,Other Colour,Premium Unleaded,Automatic,2,4,9.92,43950,10.1,5,41883,5822.47
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Premium Unleaded,Automatic,2,6,10.98,95764,9.1,4,42337,3202.38
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Premium Unleaded,Automatic,2,4,9.92,29552,10.1,4,42800,8656.96
2019,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,4,6,10.87,54789,9.2,5,42898,4965.89
2021,Acura,Other Model Type,Sedan,AWD,Beige,White,Premium Unleaded,Automatic,2,4,9.76,7259,10.2,3,47555,23420.68
2021,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,10.31,37033,9.7,3,47892,8655.24
2022,Acura,Other Model Type,Sedan,AWD,Black,White,Premium Unleaded,Automatic,2,4,9.86,15100,10.1,2,49980,17921.12
