Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2011.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.35,240000.0,9.7,13.0,9999.0,139.99
2007.0,0.0,10.0,8.0,4.0,5.0,1.0,2.0,0.0,4.0,6.0,10.28,178878.0,9.7,17.0,12999.0,103.23
2010.0,0.0,10.0,7.0,3.0,0.0,5.0,2.0,0.0,4.0,6.0,11.58,181045.0,8.6,14.0,13980.0,219.53
2018.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.23,83020.0,12.2,6.0,25989.0,1955.74
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.92,34586.0,10.1,5.0,40995.0,6895.94
2012.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,7.91,142791.0,12.6,12.0,10985.0,287.58
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.31,93111.0,9.7,5.0,38426.0,2795.0
2019.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.87,88199.0,9.2,5.0,39495.0,3016.45
2020.0,0.0,10.0,7.0,3.0,7.0,5.0,6.0,0.0,4.0,4.0,10.31,32575.0,9.7,4.0,43888.0,8246.72
2009.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.21,253873.0,12.2,15.0,6990.0,66.23
2015.0,0.0,10.0,7.0,3.0,1.0,2.0,2.0,0.0,4.0,6.0,10.57,230000.0,9.5,9.0,13888.0,318.27
2015.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.57,160000.0,9.5,9.0,18450.0,596.91
2015.0,0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,10.57,154925.0,9.5,9.0,18490.0,616.61
2015.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,11.08,206795.0,9.0,9.0,18990.0,481.77
2017.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.54,185361.0,10.5,7.0,19798.0,658.71
2017.0,0.0,10.0,7.0,3.0,8.0,5.0,6.0,0.0,4.0,6.0,10.74,182129.0,9.3,7.0,19990.0,676.29
2016.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.69,63846.0,9.4,8.0,21995.0,1787.1
2016.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,9.54,106520.0,10.5,8.0,22895.0,1178.94
2017.0,0.0,10.0,7.0,3.0,6.0,3.0,2.0,0.0,4.0,6.0,10.74,73000.0,9.3,7.0,25950.0,2032.23
2018.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.74,55656.0,9.3,6.0,26995.0,2878.11
2016.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,11.08,124021.0,9.0,8.0,27500.0,1231.15
2018.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.74,72702.0,10.3,6.0,27880.0,2359.8
2017.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,7.0,10.98,159598.0,9.1,7.0,27888.0,1068.83
2019.0,0.0,10.0,8.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,8.7,56700.0,11.5,5.0,28880.0,3247.38
2019.0,0.0,10.0,8.0,4.0,6.0,1.0,2.0,0.0,4.0,4.0,8.6,74148.0,11.6,5.0,29990.0,2672.97
2019.0,0.0,10.0,8.0,4.0,0.0,5.0,6.0,0.0,4.0,4.0,8.7,62099.0,11.5,5.0,30388.0,3161.07
2016.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,11.08,53000.0,9.0,8.0,30900.0,2942.86
2019.0,0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,9.92,77300.0,10.1,5.0,32880.0,2824.74
2018.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.98,63000.0,9.1,6.0,34880.0,3344.66
2020.0,0.0,10.0,8.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,8.94,15288.0,11.2,4.0,34888.0,11037.01
2019.0,0.0,10.0,7.0,3.0,1.0,2.0,2.0,0.0,4.0,4.0,9.92,48001.0,10.1,5.0,34999.0,4525.65
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,2.0,4.0,9.92,80538.0,10.1,5.0,36600.0,3031.88
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.76,37200.0,9.3,5.0,37900.0,6022.25
2020.0,0.0,10.0,8.0,3.0,7.0,3.0,6.0,0.0,2.0,6.0,10.29,47997.0,9.7,4.0,38500.0,5310.62
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,6.0,0.0,2.0,4.0,9.92,51915.0,10.1,5.0,38588.0,4674.31
2019.0,0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,4.0,10.76,58824.0,9.3,5.0,38699.0,4217.17
2020.0,0.0,10.0,8.0,3.0,1.0,0.0,6.0,0.0,2.0,6.0,10.29,39732.0,9.7,4.0,38900.0,6257.54
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,2.0,4.0,10.31,68267.0,9.7,5.0,38989.0,3736.15
2019.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,10.76,102550.0,9.3,5.0,39597.0,2638.63
